cluster_id,size,cohesion_mean,cohesion_min,separation,nearest_cluster,persistence,origem
75,10,0.8775,0.7274,0.1152,74.0,0.0275,0
99,10,0.8655,0.7973,0.1254,173.0,0.0269,0
26,10,0.9191,0.8546,0.1021,27.0,0.0582,0
187,10,0.8318,0.7772,0.1167,59.0,0.0302,3
140,9,0.8507,0.7762,0.1383,141.0,0.0,1
10,9,0.8121,0.7656,0.3211,34.0,0.2389,0
22,9,0.8718,0.7172,0.1945,23.0,0.04,0
49,9,0.8903,0.8278,0.0842,66.0,0.0202,0
172,9,0.8469,0.8026,0.1497,98.0,0.0194,2
113,9,0.8011,0.652,0.1692,82.0,0.0676,1
162,9,0.861,0.6378,0.0779,173.0,0.0322,1
161,9,0.8778,0.8172,0.0691,98.0,0.017,1
19,9,0.8868,0.861,0.0978,53.0,0.0125,0
125,9,0.8116,0.5742,0.0743,79.0,0.0174,1
68,9,0.905,0.8591,0.0411,60.0,0.0012,0
53,9,0.907,0.8521,0.0813,59.0,0.0027,0
54,9,0.9255,0.8933,0.0613,165.0,0.0142,0
126,9,0.8739,0.7699,0.0686,163.0,0.0132,1
189,9,0.7904,0.6825,0.1519,140.0,0.0324,4
128,9,0.8299,0.715,0.1194,187.0,0.0187,1
81,9,0.9039,0.8015,0.0487,139.0,0.0098,0
76,9,0.8541,0.784,0.1154,184.0,0.0196,0
148,9,0.8294,0.7904,0.1243,174.0,0.0126,1
175,9,0.8185,0.6658,0.0894,147.0,0.007,2
179,8,0.8706,0.8142,0.0862,95.0,0.0,2
186,8,0.8676,0.8398,0.0763,63.0,0.0,3
176,8,0.8379,0.7932,0.1241,153.0,0.0402,2
43,8,0.8333,0.8073,0.1058,123.0,0.0,0
117,8,0.8269,0.7742,0.1309,43.0,0.0,1
164,8,0.8616,0.824,0.051,21.0,0.0271,2
90,8,0.9296,0.8829,0.0612,166.0,0.0116,0
41,8,0.8913,0.8612,0.083,42.0,0.0002,0
56,8,0.9182,0.8586,0.08,143.0,0.0,0
58,8,0.8964,0.8563,0.1138,175.0,0.0,0
82,8,0.8344,0.7836,0.0889,133.0,0.0021,0
86,8,0.9182,0.8693,0.0425,122.0,0.0057,0
28,8,0.854,0.6695,0.0685,115.0,0.0087,0
89,8,0.9232,0.8524,0.0594,166.0,0.0092,0
97,8,0.9214,0.8615,0.0313,131.0,0.0018,0
146,8,0.8725,0.8138,0.1558,109.0,0.0213,1
111,8,0.9078,0.869,0.0419,151.0,0.0018,0
116,8,0.8775,0.8239,0.1359,171.0,0.0038,1
42,8,0.8935,0.7906,0.083,41.0,0.0,0
119,8,0.9046,0.8268,0.0842,132.0,0.0,1
127,8,0.8622,0.8171,0.0939,36.0,0.0339,1
136,8,0.8891,0.7967,0.1069,180.0,0.0,1
145,8,0.8821,0.8482,0.1554,110.0,0.0,1
96,8,0.9293,0.8904,0.0369,131.0,0.007,0
